column,missing_count,missing_percentage
order_id,0,0.0
customer_unique_id,0,0.0
customer_city,0,0.0
customer_state,0,0.0
order_status,0,0.0
order_purchase_timestamp,0,0.0
order_approved_at,160,0.1609
order_delivered_customer_date,2965,2.9817
order_estimated_delivery_date,0,0.0
delivery_days,2965,2.9817
delay_days,2965,2.9817
item_count,775,0.7794
seller_count,775,0.7794
item_value,775,0.7794
freight_value,775,0.7794
freight_pct,775,0.7794
payment_value,1,0.001
max_installments,1,0.001
payment_record_count,1,0.001
review_score,768,0.7723
has_review_comment,768,0.7723
