column,q1,q3,iqr,lower_fence,upper_fence,iqr_outlier_count,zscore_outlier_count,methods_agree,difference_explanation
delivery_days,6.8737962963059545,15.363090277649462,8.489293981343508,-5.860144675709307,28.097031249664724,5522,1662,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
delay_days,-16.157662036828697,-6.698564814869314,9.459097221959382,-30.34630786976777,7.490081018069759,5447,1384,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
item_count,1.0,1.0,0.0,1.0,1.0,9803,2287,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
item_value,45.99,149.9,103.91,-109.875,305.765,7915,1711,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
freight_value,13.9,23.92,10.020000000000001,-1.1300000000000008,38.95,10184,1593,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
freight_pct,13.221153846153848,37.84461152882206,24.62345768266821,-23.714032677848472,74.77979805282438,6598,1634,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
payment_value,62.01,176.97,114.96000000000001,-110.43,349.40999999999997,7866,1724,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
max_installments,1.0,4.0,3.0,-3.5,8.5,6300,318,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
payment_record_count,1.0,1.0,0.0,1.0,1.0,2961,579,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
review_score,4.0,5.0,1.0,2.5,6.5,14449,0,False,"Counts differ because IQR is rank-based and robust to skew, while Z-score uses mean and standard deviation and assumes a more symmetric distribution."
